id,sncl_id,metric_id,value,starttime,endtime,datasrc_id,created_at
"12772351","449","81","2700","2018-02-01 00:00:00","2018-02-01 01:00:00","1","2018-02-01 02:10:16"
"12772352","449","82","-1737.85109263","2018-02-01 00:00:00","2018-02-01 01:00:00","1","2018-02-01 02:10:16"
"12772353","449","83","277.815826732","2018-02-01 00:00:00","2018-02-01 01:00:00","1","2018-02-01 02:10:16"
"12772354","449","84","-2908","2018-02-01 00:00:00","2018-02-01 01:00:00","1","2018-02-01 02:10:16"
"12772355","449","85","-208","2018-02-01 00:00:00","2018-02-01 01:00:00","1","2018-02-01 02:10:16"
"12772356","449","79","1802.53","2018-02-01 00:00:00","2018-02-01 01:00:00","1","2018-02-01 02:10:16"
"12772357","449","80","1802.53","2018-02-01 00:00:00","2018-02-01 01:00:00","1","2018-02-01 02:10:16"
"12772358","449","77","50.0008321775","2018-02-01 00:00:00","2018-02-01 01:00:00","1","2018-02-01 02:10:16"
"12772359","449","78","0","2018-02-01 00:00:00","2018-02-01 01:00:00","1","2018-02-01 02:10:16"
"12772360","449","105","0","2018-02-01 00:00:00","2018-02-01 01:00:00","1","2018-02-01 02:10:16"
"12772361","449","106","0","2018-02-01 00:00:00","2018-02-01 01:00:00","1","2018-02-01 02:10:16"
"12772362","449","107","0","2018-02-01 00:00:00","2018-02-01 01:00:00","1","2018-02-01 02:10:16"
"12772363","449","108","0","2018-02-01 00:00:00","2018-02-01 01:00:00","1","2018-02-01 02:10:16"
"12778252","446","99","0","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:09:37"
"12778253","446","100","0","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:09:37"
"12778254","446","101","0","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:09:37"
"12778255","446","102","0","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:09:37"
"12778256","446","103","0","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:09:37"
"12778257","446","104","0","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:09:37"
"12778258","446","86","0","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:09:37"
"12778259","446","87","0","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:09:37"
"12778260","446","88","0","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:09:37"
"12778261","446","89","0","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:09:37"
"12778262","446","90","0","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:09:37"
"12778263","446","91","0","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:09:37"
"12778264","446","92","0","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:09:37"
"12778265","446","93","0","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:09:37"
"12778266","446","94","0","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:09:37"
"12778267","446","95","0","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:09:37"
"12778268","446","96","0","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:09:37"
"12778269","446","98","4.76349075356e-06","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:09:37"
"12778270","446","97","2.31423781552e-07","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:09:37"
"12778271","446","81","1587","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:09:37"
"12778272","446","82","-3351.17161339","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:09:37"
